"","Country","Year","Gdp","Gdp_units","Population","Population_units","Total_investment","
                                            Total_invest_units","Gdp_per_cap","Groups","Average_temp","Average_temp_unct","Cereal_yield","CO2_emissions","climate_zone","economic_status","development_status","co2_category","population_category"
"21","Afghanistan",2010,15.325,"U.S. dollars  (Billions)",24269,"Persons  (Millions)","30.269","Percent of GDP",0.631464007581689,222,15.8286666666667,0.290083333333333,NA,NA,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
"22","Albania",1990,2.221,"U.S. dollars  (Billions)",3287,"Persons  (Millions)","49.84","Percent of GDP",0.675692120474597,424,13.4686666666667,0.338833333333333,2794.3,2.28,"Temperate","Low-income","Developing","Medium emissions","Large population"
"23","Albania",1991,1.333,"U.S. dollars  (Billions)",3267,"Persons  (Millions)","9.509","Percent of GDP",0.408019589837772,425,12.3388333333333,0.3225,2071.8,1.21,"Temperate","Low-income","Developing","Low emissions","Large population"
"24","Albania",1992,0.843,"U.S. dollars  (Billions)",3247,"Persons  (Millions)","7.438","Percent of GDP",0.25962426855559,426,13.0846666666667,0.343083333333333,2269.2,0.73,"Temperate","Low-income","Developing","Low emissions","Large population"
"25","Albania",1993,1.461,"U.S. dollars  (Billions)",3227,"Persons  (Millions)","18.881","Percent of GDP",0.452742485280446,427,13.1225833333333,0.38525,2685,0.73,"Temperate","Low-income","Developing","Low emissions","Large population"
"26","Albania",1994,2.361,"U.S. dollars  (Billions)",3208,"Persons  (Millions)","25.603","Percent of GDP",0.735972568578554,428,14.0996666666667,0.379833333333333,2460.9,0.61,"Temperate","Low-income","Developing","Low emissions","Large population"
"27","Albania",1995,2.882,"U.S. dollars  (Billions)",3188,"Persons  (Millions)","25.746","Percent of GDP",0.904015056461732,429,12.7820833333333,0.29775,2841.4,0.66,"Temperate","Low-income","Developing","Low emissions","Large population"
"28","Albania",1996,3.2,"U.S. dollars  (Billions)",3168,"Persons  (Millions)","18.064","Percent of GDP",1.01010101010101,430,12.7365,0.278166666666667,2450.8,0.65,"Temperate","Low-income","Developing","Low emissions","Large population"
"29","Albania",1997,2.259,"U.S. dollars  (Billions)",3148,"Persons  (Millions)","16.659","Percent of GDP",0.717598475222363,431,12.9009166666667,0.328916666666667,2833.3,0.5,"Temperate","Low-income","Developing","Low emissions","Large population"
"30","Albania",1998,2.56,"U.S. dollars  (Billions)",3129,"Persons  (Millions)","19.743","Percent of GDP",0.818152764461489,432,13.31125,0.3095,2872.1,0.57,"Temperate","Low-income","Developing","Low emissions","Large population"
"31","Albania",1999,3.209,"U.S. dollars  (Billions)",3109,"Persons  (Millions)","19.735","Percent of GDP",1.03216468317787,433,13.65375,0.305166666666667,2798,0.97,"Temperate","Low-income","Developing","Low emissions","Large population"
"32","Albania",2000,3.483,"U.S. dollars  (Billions)",3089,"Persons  (Millions)","30.796","Percent of GDP",1.12754936872774,434,13.7465833333333,0.379583333333333,3175,0.99,"Temperate","Low-income","Developing","Low emissions","Large population"
"33","Albania",2001,3.928,"U.S. dollars  (Billions)",306,"Persons  (Millions)","34.989","Percent of GDP",12.8366013071895,435,13.6904166666667,0.337416666666667,3030.7,1.05,"Temperate","Low-income","Developing","Low emissions","Large population"
"34","Albania",2002,4.348,"U.S. dollars  (Billions)",3051,"Persons  (Millions)","35.264","Percent of GDP",1.42510652245166,436,13.5599166666667,0.3,3291.8,1.21,"Temperate","Low-income","Developing","Low emissions","Large population"
"35","Albania",2003,5.611,"U.S. dollars  (Billions)",304,"Persons  (Millions)","33.897","Percent of GDP",18.4572368421053,437,13.6265833333333,0.341916666666667,3185.7,1.38,"Temperate","Low-income","Developing","Low emissions","Large population"
"36","Albania",2004,7.185,"U.S. dollars  (Billions)",3027,"Persons  (Millions)","34.197","Percent of GDP",2.37363726461843,438,13.2581666666667,0.284833333333333,3466.2,1.28,"Temperate","Low-income","Developing","Low emissions","Large population"
"37","Albania",2005,8.052,"U.S. dollars  (Billions)",3011,"Persons  (Millions)","36.87","Percent of GDP",2.67419461972767,439,12.7470833333333,0.247,3462.1,1.46,"Temperate","Low-income","Developing","Low emissions","Large population"
"38","Albania",2006,8.896,"U.S. dollars  (Billions)",2993,"Persons  (Millions)","35.698","Percent of GDP",2.97226862679586,440,12.9769166666667,0.319083333333333,3602.6,1.34,"Temperate","Low-income","Developing","Low emissions","Large population"
"39","Albania",2007,10.677,"U.S. dollars  (Billions)",297,"Persons  (Millions)","34.462","Percent of GDP",35.949494949495,441,13.8905,0.28,3728.3,1.41,"Temperate","Lower-middle-income","Developed","Low emissions","Large population"
"40","Albania",2008,12.881,"U.S. dollars  (Billions)",2947,"Persons  (Millions)","33.374","Percent of GDP",4.37088564642009,442,13.9551666666667,0.28375,4081.1,1.31,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
"41","Albania",2009,12.044,"U.S. dollars  (Billions)",2928,"Persons  (Millions)","32.641","Percent of GDP",4.11338797814208,443,13.84425,0.340916666666667,4315.3,NA,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
"42","Albania",2010,11.937,"U.S. dollars  (Billions)",2913,"Persons  (Millions)","31.318","Percent of GDP",4.09783728115345,444,13.7754166666667,0.3265,NA,NA,"Temperate","Lower-middle-income","Developing","Low emissions","Large population"
"43","Algeria",1990,61.892,"U.S. dollars  (Billions)",25022,"Persons  (Millions)","28.896","Percent of GDP",2.47350331708097,535,24.0144166666667,0.397916666666667,687.6,3.12,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"44","Algeria",1991,46.67,"U.S. dollars  (Billions)",25643,"Persons  (Millions)","30.947","Percent of GDP",1.81998986078072,536,23.0110833333333,0.361083333333333,1114.5,3.14,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"45","Algeria",1992,49.217,"U.S. dollars  (Billions)",26271,"Persons  (Millions)","29.757","Percent of GDP",1.8734345856648,537,22.767,0.345333333333333,943.2,3.1,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"46","Algeria",1993,50.963,"U.S. dollars  (Billions)",26894,"Persons  (Millions)","28.259","Percent of GDP",1.89495798319328,538,23.4508333333333,0.348916666666667,741.7,3.04,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"47","Algeria",1994,42.426,"U.S. dollars  (Billions)",27496,"Persons  (Millions)","31.461","Percent of GDP",1.54298807099214,539,23.6420833333333,0.321416666666667,749.6,3.11,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"48","Algeria",1995,42.066,"U.S. dollars  (Billions)",2806,"Persons  (Millions)","31.571","Percent of GDP",14.9914468995011,540,23.7225,0.319416666666667,829.6,3.35,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"49","Algeria",1996,46.941,"U.S. dollars  (Billions)",28566,"Persons  (Millions)","25.082","Percent of GDP",1.64324721697122,541,23.7343333333333,0.404666666666667,1337.9,3.35,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"50","Algeria",1997,48.178,"U.S. dollars  (Billions)",29045,"Persons  (Millions)","23.286","Percent of GDP",1.65873644344982,542,23.9551666666667,0.353083333333333,779.8,3.02,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"51","Algeria",1998,48.188,"U.S. dollars  (Billions)",29507,"Persons  (Millions)","27.344","Percent of GDP",1.63310400921815,543,23.9205833333333,0.33725,846.2,3.61,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"52","Algeria",1999,48.845,"U.S. dollars  (Billions)",29965,"Persons  (Millions)","26.475","Percent of GDP",1.63006841314867,544,24.2994166666667,0.345166666666667,1069.9,3.06,"Tropical","Lower-middle-income","Developing","Medium emissions","Large population"
"53","Algeria",2000,54.749,"U.S. dollars  (Billions)",30506,"Persons  (Millions)","23.563","Percent of GDP",1.79469612535239,545,24.03225,0.316333333333333,883.2,2.88,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"54","Algeria",2001,54.745,"U.S. dollars  (Billions)",30954,"Persons  (Millions)","26.841","Percent of GDP",1.768592104413,546,24.7244166666667,0.41075,1106.9,2.72,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"55","Algeria",2002,56.761,"U.S. dollars  (Billions)",31414,"Persons  (Millions)","30.654","Percent of GDP",1.8068695486089,547,24.263,0.38175,1058.6,2.89,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"56","Algeria",2003,67.864,"U.S. dollars  (Billions)",31885,"Persons  (Millions)","30.341","Percent of GDP",2.12839893366787,548,24.3936666666667,0.394083333333333,1470.3,2.9,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"57","Algeria",2004,85.332,"U.S. dollars  (Billions)",32366,"Persons  (Millions)","33.263","Percent of GDP",2.63647037014151,549,23.916,0.420416666666667,1344.1,2.76,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"58","Algeria",2005,103.198,"U.S. dollars  (Billions)",32855,"Persons  (Millions)","31.656","Percent of GDP",3.14101354436159,550,24.2225833333333,0.415666666666667,1500.8,3.26,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"59","Algeria",2006,117.027,"U.S. dollars  (Billions)",33351,"Persons  (Millions)","30.17","Percent of GDP",3.50895025636413,551,24.2008333333333,0.370416666666667,1503.6,3.21,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"60","Algeria",2007,134.977,"U.S. dollars  (Billions)",33858,"Persons  (Millions)","34.469","Percent of GDP",3.98656152164924,552,24.0653333333333,0.375166666666667,1253.4,3.33,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"61","Algeria",2008,171.001,"U.S. dollars  (Billions)",34591,"Persons  (Millions)","37.348","Percent of GDP",4.94351131797288,553,23.95025,0.33825,1034,3.23,"Tropical","Upper-middle-income","Developing","Medium emissions","Large population"
"62","Algeria",2009,137.211,"U.S. dollars  (Billions)",35268,"Persons  (Millions)","46.876","Percent of GDP",3.89052398775094,554,24.1543333333333,0.336416666666667,1653.9,NA,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"63","Algeria",2010,161.207,"U.S. dollars  (Billions)",35978,"Persons  (Millions)","41.43","Percent of GDP",4.4807104341542,555,25.2156666666667,0.292,NA,NA,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"64","Andorra",1990,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,757,12.4555833333333,0.281666666666667,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"65","Andorra",1991,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,758,11.5654166666667,0.24325,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"66","Andorra",1992,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,759,11.4984166666667,0.324166666666667,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"67","Andorra",1993,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,760,11.4321666666667,0.337916666666667,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"68","Andorra",1994,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,761,12.63225,0.296166666666667,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"69","Andorra",1995,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,762,12.3764166666667,0.246416666666667,NA,6.29,"Temperate","Low-income","Developing","Medium emissions","Small population"
"70","Andorra",1996,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,763,11.7414166666667,0.241666666666667,NA,6.52,"Temperate","Low-income","Developing","Medium emissions","Small population"
"71","Andorra",1997,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,764,12.8961666666667,0.292833333333333,NA,7.06,"Temperate","Low-income","Developing","Medium emissions","Small population"
"72","Andorra",1998,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,765,12.11875,0.304,NA,7.53,"Temperate","Low-income","Developing","Medium emissions","Small population"
"73","Andorra",1999,NA,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",NA,766,12.1786666666667,0.19675,NA,8.02,"Temperate","Low-income","Developing","Medium emissions","Small population"
"74","Andorra",2000,1.429,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,767,12.3119166666667,0.26125,NA,8.11,"Temperate","Low-income","Developing","Medium emissions","Small population"
"75","Andorra",2001,1.547,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,768,12.2160833333333,0.3,NA,7.9,"Temperate","Low-income","Developing","Medium emissions","Small population"
"76","Andorra",2002,1.758,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,769,12.3195833333333,0.24925,NA,7.7,"Temperate","Low-income","Developing","Medium emissions","Small population"
"77","Andorra",2003,2.362,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,770,12.9006666666667,0.301083333333333,NA,7.41,"Temperate","Low-income","Developing","Medium emissions","Small population"
"78","Andorra",2004,2.896,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,771,12.043,0.287166666666667,NA,7.5,"Temperate","Low-income","Developing","Medium emissions","Small population"
"79","Andorra",2005,3.158,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,772,11.6434166666667,0.24625,NA,7.39,"Temperate","Low-income","Developing","Medium emissions","Small population"
"80","Andorra",2006,3.456,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,773,12.8343333333333,0.295583333333333,NA,6.84,"Temperate","Low-income","Developing","Medium emissions","Small population"
"81","Andorra",2007,3.952,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,774,12.15525,0.29625,NA,6.62,"Temperate","Low-income","Developing","Medium emissions","Small population"
"82","Andorra",2008,4.082,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,775,11.9785833333333,0.253,NA,6.53,"Temperate","Low-income","Developing","Medium emissions","Small population"
"83","Andorra",2009,3.675,"U.S. dollars  (Billions)",NA,"Persons  (Millions)","","Percent of GDP",Inf,776,12.5666666666667,0.270833333333333,NA,NA,"Temperate","Low-income","Developing","Low emissions","Small population"
"84","Andorra",2010,3.446,"U.S. dollars  (Billions)",7,"Persons  (Millions)","","Percent of GDP",492.285714285714,777,11.4808333333333,0.245,NA,NA,"Temperate","Low-income","Developing","Low emissions","Medium population"
"85","Angola",1990,12.571,"U.S. dollars  (Billions)",11829,"Persons  (Millions)","5.725","Percent of GDP",1.06272719587455,868,22.4664166666667,0.466166666666667,320.9,0.43,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"86","Angola",1991,12.186,"U.S. dollars  (Billions)",12229,"Persons  (Millions)","12.492","Percent of GDP",0.99648376809224,869,22.0954166666667,0.504166666666667,417.4,0.41,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"87","Angola",1992,9.395,"U.S. dollars  (Billions)",12633,"Persons  (Millions)","21.071","Percent of GDP",0.743687168526874,870,22.4985833333333,0.501,397,0.4,"Tropical","Low-income","Developing","Low emissions","Large population"
"88","Angola",1993,6.819,"U.S. dollars  (Billions)",13038,"Persons  (Millions)","21.619","Percent of GDP",0.523009664058905,871,22.291,0.470083333333333,267.8,0.51,"Tropical","Low-income","Developing","Low emissions","Large population"
"89","Angola",1994,4.965,"U.S. dollars  (Billions)",13462,"Persons  (Millions)","21.016","Percent of GDP",0.368815926311098,872,22.1894166666667,0.52175,298.4,0.33,"Tropical","Low-income","Developing","Low emissions","Large population"
"90","Angola",1995,6.197,"U.S. dollars  (Billions)",13912,"Persons  (Millions)","22.826","Percent of GDP",0.445442783208741,873,22.9361666666667,0.524416666666667,402.2,0.91,"Tropical","Low-income","Developing","Low emissions","Large population"
"91","Angola",1996,7.994,"U.S. dollars  (Billions)",14383,"Persons  (Millions)","28.368","Percent of GDP",0.55579503580616,874,22.47925,0.544166666666667,653.3,0.84,"Tropical","Low-income","Developing","Low emissions","Large population"
"92","Angola",1997,9.388,"U.S. dollars  (Billions)",14871,"Persons  (Millions)","20.822","Percent of GDP",0.631295810638155,875,22.3171666666667,0.447583333333333,567.3,0.58,"Tropical","Low-income","Developing","Low emissions","Large population"
"93","Angola",1998,7.958,"U.S. dollars  (Billions)",15367,"Persons  (Millions)","28.778","Percent of GDP",0.517862953081278,876,23.1201666666667,0.453583333333333,701.6,0.56,"Tropical","Low-income","Developing","Low emissions","Large population"
"94","Angola",1999,7.526,"U.S. dollars  (Billions)",15871,"Persons  (Millions)","22.568","Percent of GDP",0.474198223174343,877,22.3820833333333,0.513083333333333,620.3,0.68,"Tropical","Low-income","Developing","Low emissions","Large population"
"95","Angola",2000,11.166,"U.S. dollars  (Billions)",16394,"Persons  (Millions)","30.88","Percent of GDP",0.681102842503355,878,22.3606666666667,0.572833333333333,572.1,0.69,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"96","Angola",2001,10.93,"U.S. dollars  (Billions)",16942,"Persons  (Millions)","30.88","Percent of GDP",0.645142250029512,879,22.5029166666667,0.752416666666667,623.7,0.68,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"97","Angola",2002,15.286,"U.S. dollars  (Billions)",17516,"Persons  (Millions)","30.493","Percent of GDP",0.872687828271295,880,22.9255,0.753166666666667,639.7,0.85,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"98","Angola",2003,17.813,"U.S. dollars  (Billions)",18124,"Persons  (Millions)","30.451","Percent of GDP",0.98284043257559,881,23.0665833333333,0.837666666666667,668.4,0.59,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"99","Angola",2004,23.552,"U.S. dollars  (Billions)",18771,"Persons  (Millions)","30.894","Percent of GDP",1.25470140109744,882,22.5728333333333,0.835333333333333,499.7,1.18,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"100","Angola",2005,36.971,"U.S. dollars  (Billions)",19451,"Persons  (Millions)","27.557","Percent of GDP",1.9007248984628,883,22.9660833333333,0.827083333333333,598.8,1.16,"Tropical","Lower-middle-income","Developing","Low emissions","Large population"
"101","Angola",2006,52.381,"U.S. dollars  (Billions)",20162,"Persons  (Millions)","23.301","Percent of GDP",2.59800615018351,884,21.9470833333333,0.7335,449.1,1.31,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"102","Angola",2007,65.266,"U.S. dollars  (Billions)",2091,"Persons  (Millions)","25.731","Percent of GDP",31.2128168340507,885,22.4270833333333,0.73925,526.8,1.44,"Tropical","Upper-middle-income","Developed","Low emissions","Large population"
"103","Angola",2008,88.539,"U.S. dollars  (Billions)",21692,"Persons  (Millions)","30.804","Percent of GDP",4.0816430020284,886,22.2873333333333,0.64775,729.9,1.35,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"104","Angola",2009,70.307,"U.S. dollars  (Billions)",22508,"Persons  (Millions)","42.821","Percent of GDP",3.12364492624845,887,22.3165,0.688166666666667,587.7,NA,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"105","Angola",2010,83.799,"U.S. dollars  (Billions)",23364,"Persons  (Millions)","28.197","Percent of GDP",3.5866718027735,888,22.6815,0.671333333333333,NA,NA,"Tropical","Upper-middle-income","Developing","Low emissions","Large population"
"106","Argentina",1990,158.024,"U.S. dollars  (Billions)",3253,"Persons  (Millions)","11.354","Percent of GDP",48.5779280664002,1262,15.0985833333333,0.228166666666667,2232.2,3.45,"Temperate","Upper-middle-income","Developing","Medium emissions","Large population"
"107","Argentina",1991,211.979,"U.S. dollars  (Billions)",3297,"Persons  (Millions)","11.895","Percent of GDP",64.2945101607522,1263,15.1225833333333,0.179333333333333,2666.1,3.54,"Temperate","High-income","Developing","Medium emissions","Large population"
"108","Argentina",1992,255.787,"U.S. dollars  (Billions)",3342,"Persons  (Millions)","13.431","Percent of GDP",76.5371035308199,1264,14.7365833333333,0.261,3057.3,3.62,"Temperate","High-income","Developing","Medium emissions","Large population"
"109","Argentina",1993,264.429,"U.S. dollars  (Billions)",33917,"Persons  (Millions)","17.301","Percent of GDP",7.79635580977091,1265,15.1156666666667,0.206333333333333,2846.5,3.49,"Temperate","High-income","Developing","Medium emissions","Large population"
"110","Argentina",1994,287.835,"U.S. dollars  (Billions)",34353,"Persons  (Millions)","17.509","Percent of GDP",8.37874421447908,1266,15.5240833333333,0.216416666666667,2815.9,3.58,"Temperate","High-income","Developing","Medium emissions","Large population"
"111","Argentina",1995,288.497,"U.S. dollars  (Billions)",34779,"Persons  (Millions)","16.4","Percent of GDP",8.29514937174732,1267,15.1429166666667,0.225916666666667,2799.7,3.52,"Temperate","High-income","Developing","Medium emissions","Large population"
"112","Argentina",1996,304.282,"U.S. dollars  (Billions)",35196,"Persons  (Millions)","17.403","Percent of GDP",8.64535742698034,1268,15.3238333333333,0.237083333333333,2753.4,3.66,"Temperate","High-income","Developing","Medium emissions","Large population"
"113","Argentina",1997,327.436,"U.S. dollars  (Billions)",35604,"Persons  (Millions)","18.415","Percent of GDP",9.19660712279519,1269,15.5241666666667,0.203833333333333,3307.4,3.77,"Temperate","High-income","Developing","Medium emissions","Large population"
"114","Argentina",1998,334.244,"U.S. dollars  (Billions)",36005,"Persons  (Millions)","18.551","Percent of GDP",9.28326621302597,1270,15.2488333333333,0.1975,3691.7,3.81,"Temperate","High-income","Developing","Medium emissions","Large population"
"115","Argentina",1999,316.998,"U.S. dollars  (Billions)",36399,"Persons  (Millions)","15.557","Percent of GDP",8.70897552130553,1271,15.1456666666667,0.196,3351.5,3.98,"Temperate","High-income","Developing","Medium emissions","Large population"
"116","Argentina",2000,317.759,"U.S. dollars  (Billions)",36784,"Persons  (Millions)","15.337","Percent of GDP",8.6385113092649,1272,14.7236666666667,0.204583333333333,3453.4,3.82,"Temperate","High-income","Developing","Medium emissions","Large population"
"117","Argentina",2001,300.421,"U.S. dollars  (Billions)",37156,"Persons  (Millions)","13.64","Percent of GDP",8.08539670578103,1273,15.3551666666667,0.205,3206.4,3.77,"Temperate","High-income","Developing","Medium emissions","Large population"
"118","Argentina",2002,112.458,"U.S. dollars  (Billions)",37516,"Persons  (Millions)","9.965","Percent of GDP",2.99760102356328,1274,15.22575,0.198166666666667,3240.7,3.49,"Temperate","Upper-middle-income","Developing","Medium emissions","Large population"
"119","Argentina",2003,142.431,"U.S. dollars  (Billions)",3787,"Persons  (Millions)","12.877","Percent of GDP",37.6105096382361,1275,15.5846666666667,0.26475,3673,3.75,"Temperate","Upper-middle-income","Developing","Medium emissions","Large population"
"120","Argentina",2004,164.911,"U.S. dollars  (Billions)",38226,"Persons  (Millions)","17.551","Percent of GDP",4.31410558258777,1276,15.36425,0.201583333333333,3668.6,4.04,"Temperate","Upper-middle-income","Developing","Medium emissions","Large population"
