Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.259,2.425,1.517,-6.454,2022
Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,9.439,10.208,9.254,26.4,34.466,25,10.77,9.26,5,0.1,2.203,5.843,2.768,1.08,-3.064,0.154,1.47,2.48,-4.199,2022
The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.255,2.3,1.052,-4.182,-3.826,0.308,3.149,4.379,4.224,4.946,4.716,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.447,-2.324,-4.175,1.539,0.613,3.499,-2.863,1.847,0.997,-0.763,2.524,2.918,-0.744,-23.508,2022
Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.494,2.777,6.406,6.994,4.186,-0.93,0.484,-1.222,5.952,1.013,3.503,2.286,7.123,7.604,3.212,1.923,3.25,2.348,4.849,5.972,7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.485,3.558,4.292,2.11,2.167,-4.645,2022
Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,3.802,2.376,4.016,5.181,3.223,4.249,3.732,2.159,2.612,5.941,3.339,5.04,4.574,4.085,4.925,4.622,4.49,5.177,4.67,5.293,5.077,3.833,4.74,5.24,6.536,6.672,7.059,6.014,5.045,5.572,6.464,6.521,6.014,6.061,6.553,7.114,6.59,7.319,7.882,3.448,2022
Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.371,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2,2.023,3.966,4.74,3.74,0.326,4.453,-2.367,0.791,2.171,1.407,3.965,5.669,2.202,0.698,-5.076,-2.288,-0.673,-0.45,-1.411,-0.126,2.446,2.485,0.478,-0.583,-0.523,-13.311,2022
Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.6,-11.7,-11.084,2.776,11.434,8.442,3.354,5.76,4.717,5.048,7.033,11.439,9.452,10.001,8.637,10.235,0.168,7.805,5.29,1.629,0.962,1.686,-3.83,-2.536,2.541,3.138,1.446,-0.673,2022
Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.444,-0.279,0.595,0.312,2.466,1.652,1.823,2.307,4.723,3.469,3.137,1.833,1.531,-0.962,3.227,2.385,1.321,3.794,1.962,3.543,3.717,1.1,1.707,1.038,3.571,2.322,2.552,3.677,0.447,-2.021,2.865,1.694,0.739,0.459,1.579,2.041,1.267,1.62,1.793,2.262,-5.363,2022
Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.013,0.214,-7.551,6.076,11.332,-1.419,7.275,21.997,10.861,15.474,11.209,11.463,12.034,6.276,0.158,0.644,1.053,3.594,3.89,8.974,13.02,5.015,5.12,9.327,4.649,2.361,4.409,3.297,-1.53,-0.441,1.255,-0.117,3.853,4.534,4.088,3.371,0.12,-1.712,1.123,4.492,-13.392,2021
Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.255,1.929,1.682,-2,0.4,4.327,2.748,-2.074,3.428,-2.849,8.976,4.226,2.958,5.836,2.02,6.045,4.324,5.735,3.961,4.358,5.858,5.333,4.643,3.444,4.43,1.713,3.944,5.986,4.897,2.319,2.114,2.964,4.811,7.191,6.358,1.778,3.34,5.672,6.697,6.866,3.849,2022
Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.995,13.589,8.195,7.337,7.616,4.349,7.954,20.229,15.079,6.194,9.098,4.896,2.083,3.192,2.232,6.019,5.971,5.544,6.009,7.087,6.934,7.04,9.516,9.32,6.876,6.666,7.137,12.861,10.964,5.801,9.484,9.866,6.495,3.582,3.968,6.221,7.408,6.322,3.835,4.425,-2.348,2021
Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.61,0.3,-3.939,-4.042,-0.201,-1.676,-2.574,2.463,2.91,3.79,4.636,5.267,1.647,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,2.217,-8.738,2022
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.853,13.814,10.75,4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.148,4.314,3.242,3.244,3.829,2.886,-3.015,2022
Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.02,8.154,15.874,10.793,6.517,7.695,8.616,14.89,23.42,4.665,8.787,6.237,-0.208,4.027,-0.786,8.453,2.466,7.106,-1.622,8.035,4.271,2.348,7.434,5.388,1.397,4.972,6.034,5.793,3.252,-14.144,10.122,6.839,-0.171,11.103,5.697,-4.851,7.202,4.113,4.19,3.033,-8.726,2021
Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.19,-4.4,0.596,-3.4,5.307,7.901,7.544,3.601,0.264,3.2,-4.168,1.031,-0.467,4.665,5.334,4.417,2.209,3.395,0.338,0.468,4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.784,1.221,-3.277,2022
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,-2.715,2.009,1.097,-1.074,1.089,3.146,4.759,0.305,3.145,4.479,2.878,-1.471,-0.559,3.052,2.85,2.745,3.871,2.904,0.504,0.388,4.397,0.154,-1.939,-1.765,2.599,3.744,0.913,-2.125,-2.508,-0.405,-2.465,1.329,0.052,3.869,1.134,2022
Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.7,5.3,4.2,3,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.755,-8.426,-11.625,-3.665,-1.601,5.205,-14.115,3.789,-8.396,4.587,3.824,5.872,5.237,6.51,7.056,6.803,6.654,6.13,-3.347,1.542,2.101,0.755,-0.56,0.967,3.428,3.04,2.762,2.685,4.038,-3.959,2022
Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.035,2.661,1.4,-1.2,1.6,11.3,7.955,-0.236,5.796,2.15,-0.603,9.07,0.233,3.461,1.315,5.716,11.015,6.317,7.308,7.333,1.888,6.613,4.353,7.802,4.478,8.662,6.253,4.111,5.8,2.962,8.446,6.623,6.453,5.793,4.327,3.921,5.958,6.203,6.603,5.689,1.931,2021
Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.825,12.164,-1.054,3.715,0.155,11.784,3.25,5.503,5.031,1.349,3.458,5.781,1.007,-6.236,-3.829,-7.919,-8.001,0.413,4.752,1.164,1.781,1.665,2.353,2.469,3.766,4.37,5.414,3.452,4.862,3.813,5.124,4.033,4.447,4.924,4.241,-3.9,-0.6,0.5,1.61,1.842,0.335,2022
Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.263,8.452,2.825,9.521,3.783,8.642,2.871,4.309,5.997,5.698,0.692,1.404,3.044,7.311,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.3,7.502,4.927,5.81,9.118,15.2,7.039,-1.504,1.836,3.925,1.084,0.632,0.697,0.936,4.281,4.551,3.707,6.948,-19.598,2021
Cambodia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.469,7.054,-3.096,2022
Cameroon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.9,17.051,7.563,6.844,7.468,8.107,6.791,-2.153,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.363,3.356,4.847,4.994,6.561,1.218,3.524,4.1,2.858,2.619,2.935,3.484,4.508,4.987,5.779,5.6,4.479,3.541,4.022,3.422,0.539,2022
Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.163,3.503,-3.187,2.601,5.908,4.737,2.145,4.073,4.41,2.317,0.165,-2.086,0.9,2.661,4.494,2.694,1.619,4.28,3.896,5.163,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.777,1.888,-5.074,2022
Central African Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.995,12.954,-3.572,-6.027,9.912,3.733,7.193,0,1.718,3.79,1.364,-0.799,-4.923,-1.198,12.572,3.166,-6.157,4.105,3.34,2.887,-3.581,2.609,2.091,-2.249,-0.096,2.931,4.754,4.031,2.613,2.812,4.631,4.195,5.054,-36.392,0.08,4.338,4.75,4.528,3.82,2.97,0.959,2021
Chad,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.008,-10.805,5.376,15.659,5.256,7.897,5.966,3.647,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-5.558,-2.38,2.355,3.419,-2.142,2021
Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.945,6.212,-13.588,-2.802,5.886,1.968,5.596,6.581,7.288,10.605,3.671,7.804,11.167,6.589,5.03,8.933,4.985,7.392,4.181,-0.274,4.972,3.154,3.203,4.723,6.674,5.837,6.05,5.168,3.789,-1.118,5.852,6.224,6.155,3.309,1.793,2.152,1.753,1.358,3.99,0.743,-6.145,2022
China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.91,5.1,9,10.8,15.2,13.501,8.9,11.7,11.2,4.2,3.888,8.996,14.277,13.879,13.029,10.969,9.921,9.247,7.856,7.68,8.472,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.242,2022
Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.447,6.717,6.738,3.283,1.14,4.495,6.948,3.913,5.134,4.499,2.956,2.087,1.359,2.565,3.187,-7.252,2022
Comoros,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.383,5.462,4.058,3.093,4.167,2.888,2.167,2.168,5.068,-0.816,7.363,-6.156,7.382,2.511,-4.007,5.63,-0.525,4.402,0.014,2.724,-0.967,5.444,4.616,1.971,3.1,5.745,-1.829,0.804,3.965,3.241,3.778,4.144,3.168,4.466,2.107,1.147,3.32,3.816,3.642,1.761,-0.196,2021
Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.405,0.945,-0.454,1.41,4.844,0.464,4.72,2.671,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-6.144,2.762,-1.935,-7.84,-3.875,-3.802,-8.136,-2.1,2.948,6.633,7.661,9.804,5.109,8.53,7.402,0.565,7.843,7.593,8.669,9.624,7.302,6.36,0.394,3.658,4.825,4.485,1.671,2020
Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.678,2.613,2.41,2.393,2.375,2.359,2.343,2.327,21.908,21.269,1.003,3.402,4.181,1.316,-1.401,3.965,3.495,-1.004,8.95,-3.678,11.752,-4.823,0.985,0.459,-0.197,9.211,7.986,-6.614,6.306,11.637,9.931,2.206,9.947,-0.712,6.717,-3.551,-4.994,-5.595,-2.304,1.124,-6.268,2020
Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,-2.26,-7.285,2.859,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.201,7.097,4.519,4.154,1.35,5.476,7.155,4.215,3.869,3.491,3.417,4.317,4.425,3.977,7.327,8.215,4.738,-0.873,5.36,4.403,4.883,2.495,3.542,3.652,4.204,4.158,2.616,2.418,-4.273,2022
CÙte d'Ivoire,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.196,3.498,0.2,-2.5,-2,3.6,4.8,-0.5,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.173,7.411,4.843,6.518,1.738,2020
Croatia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,3.11,5.824,5.596,4.18,4.309,4.919,4.959,2.004,-7.195,-1.221,-0.091,-2.328,-0.398,-0.431,2.524,3.56,3.414,2.799,3.42,-8.53,2022
Cyprus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.92,3.051,6.279,5.307,8.837,4.746,3.583,7.139,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.247,2.642,6.111,4.997,5.966,3.952,3.723,2.624,5.026,4.853,4.714,5.098,3.647,-2.016,2.282,0.416,-3.447,-6.587,-1.777,3.418,6.575,5.734,5.643,5.534,-4.366,2022
Czech Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.525,-0.518,-0.357,1.384,4.001,3.043,1.57,3.584,4.814,6.602,6.767,5.57,2.686,-4.657,2.435,1.76,-0.785,-0.046,2.262,5.388,2.537,5.169,3.22,3.03,-5.503,2022
Denmark,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.484,-0.658,3.678,2.594,4.172,4.005,4.9,0.254,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.819,1.991,1.493,-2.423,2022
Djibouti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,7.193,7.309,7.123,5.458,4.774,5.545,1.316,2022
Dominica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.383,10.829,4.128,2.556,4.197,1.421,7.073,6.308,7.817,-0.191,5.419,1.346,2.03,2.162,0.034,3.03,3.105,2.185,3.774,0.355,2.34,-0.063,-2.829,6.353,3.051,0.656,4.659,6.354,7.121,-1.17,0.673,-0.224,-1.059,-1,4.754,-2.732,2.764,-6.619,3.548,5.502,-16.605,2021
Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,5.052,-6.72,2022
Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.012,-7.788,2022
Egypt,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.409,2.198,7.296,8.876,8.021,7.425,4.759,4.273,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.93,4.36,4.34,4.191,5.327,5.548,3.573,2022
El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,1.498,7.021,5.817,4.692,4.733,0.816,3.136,2.652,2.164,1.126,0.877,1.577,1.565,0.889,2.709,4.366,1.846,2.096,-2.053,2.096,3.801,2.834,2.235,1.704,2.4,2.515,2.262,2.422,2.456,-7.878,2022
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.839,5.769,2.202,5.004,1.011,12.905,-2.331,4.437,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.505,60.023,19.621,14.455,30.391,8.21,6.501,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.816,-5.668,-6.237,-5.482,-4.788,2021
Eritrea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-19.436,12.179,10.853,25.71,1.886,-10.456,30.934,-20.621,7.391,-10.015,13.032,3.836,n/a,2019
Estonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.642,2.155,4.943,13.05,4.34,-0.425,10.088,6.004,6.771,7.6,6.804,9.526,9.766,7.579,-5.132,-14.629,2.444,7.263,3.228,1.458,3.011,1.853,3.155,5.792,3.784,4.034,-0.965,2022
Eswatini,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.811,6.902,1.439,-0.547,2.481,1.924,18.584,10.016,7.571,9.408,9.859,1.76,3.227,3.106,2.401,4.826,3.842,3.103,2.604,2.951,1.76,1.055,4.38,3.88,3.624,5.999,5.992,4.435,0.822,1.565,3.794,2.247,5.397,3.861,0.923,2.227,1.063,2.027,2.369,2.704,-1.56,2021
Ethiopia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.997,--,0.961,7.845,-2.305,-11.413,9.693,13.87,0.574,-0.457,2.602,-7.218,-8.907,13.363,3.486,6.121,13.533,2.84,-4.185,6.294,9.838,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.7,9.9,10.3,10.4,8,10.21,7.703,9.037,6.057,2022
Fiji,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.694,6.004,-1.092,-4.212,10.107,-3.774,6.596,-7.194,3.462,13.888,5.802,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1,-1.4,3,2.7,1.411,4.734,5.604,4.501,2.446,5.353,3.812,-0.581,-17.04,2022
Finland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.673,1.294,3.087,3.122,3.213,3.537,2.726,3.559,5.211,5.087,0.211,-5.886,-3.295,-0.662,3.964,4.217,3.667,6.334,5.457,4.38,5.773,2.609,1.707,2.004,3.992,2.78,4.027,5.299,0.784,-8.074,3.186,2.547,-1.397,-0.902,-0.365,0.544,2.811,3.192,1.14,1.224,-2.355,2022
France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.809,1.065,2.461,1.244,1.581,1.725,2.272,2.576,4.593,4.53,2.888,1.095,1.487,-0.687,2.425,2.212,1.332,2.352,3.601,3.282,4.136,1.928,1.181,0.84,2.53,1.748,2.654,2.381,0.145,-2.783,1.799,2.23,0.362,0.699,0.963,1.049,0.981,2.46,1.818,1.889,-7.682,2022
